Person_ID,Occupation,Area_Selected,Monthly_Rent,Distance_To_Work,Public_Transport,Safety_Rating,Nearby_Hospitals,Nearby_Schools,Shopping_Access,Noise_Level,Internet_Availability,Main_Reason,Household_Type,Age,Annual_Income
P0191,Teacher,Tech Park,,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,25.0,204000.0
P0301,Teacher,Lake View,20000.0,10.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,33.0,1752000.0
P0530,Student,Hill View,14500.0,16.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,21.0,264000.0
P0024,Teacher,Tech Park,24000.0,3.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Couple,20.0,444000.0
P0359,Healthcare,Green Valley,19000.0,15.1,Good,5.0,Yes,,Good,Low,Excellent,Shopping Access,Single,39.0,504000.0
P0559,Student,Riverside,22500.0,11.2,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,32.0,252000.0
P0488,IT Professional,Green Valley,21000.0,7.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,20.0,1176000.0
P0324,Student,City Center,27000.0,2.8,Excellent,3.0,Yes,Yes,Excellent,High,excellent,Public Transport,Single,36.0,1104000.0
P0283,Student,North Avenue,,7.9,Good,4.0,Yes,Yes,Good,Medium,Good,Hospitals,Single,62.0,180000.0
P0518,Teacher,Lake View,17000.0,8.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,32.0,948000.0
P0544,Government,Tech Park,25000.0,5.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,22.0,528000.0
P0588,Government,Riverside,20500.0,9.8,Average,4.0,Yes,Yes,Good,Low,Good,Public Transport,Single,54.0,804000.0
P0209,Student,Riverside,20000.0,13.7,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Single,27.0,564000.0
P0197,Student,Tech Park,27500.0,2.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Single,19.0,168000.0
P0078,Government,City Center,29000.0,4.7,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Quiet Environment,Single,44.0,1416000.0
P0486,Student,Tech Park,27000.0,3.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Single,43.0,168000.0
P0378,Teacher,Tech Park,23000.0,2.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Single,28.0,600000.0
P0201,Government,Lake View,22000.0,16.7,Good,5.0,Yes,Yes, Good ,Low,Excellent,Affordable Rent,Couple,41.0,600000.0
P0502,Healthcare,South Garden,15500.0,17.7,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Single,44.0,264000.0
P0007,Government,Hill View,12000.0,17.3,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,20.0,816000.0
P0196,Finance,Green Valley,17000.0,6.2,Good,5.0,Yes,Yes,good,Low,Excellent,Short Commute,Single,52.0,1284000.0
P0266,Business,Green Valley,16500.0,7.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,34.0,600000.0
P0127,Self-Employed,Green Valley,19000.0,11.0,Good,5.0,Yes, Yes ,Good,Low,Excellent,Short Commute,Family,48.0,1248000.0
P0491,Government,Lake View,24500.0,12.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Couple,46.0,
P0248,Business,Hill View,16500.0,14.0,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Single,22.0,996000.0
P0256,Government,North Avenue,15000.0,8.3,Good,6.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,21.0,1200000.0
P0484,Finance,City Center,24000.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Couple,,708000.0
P0144,Business,South Garden,13500.0,11.2,Average,3.0,No,Yes,Average,Low,Average,Quiet Environment,Single,45.0,960000.0
P0139,Teacher,Lake View,26000.0,9.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Single,19.0,948000.0
P0226,Business,Tech Park,24500.0,5.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Hospitals,Family,65.0,192000.0
P0012,,Green Valley,999999.0,12.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Single,37.0,1104000.0
P0323,Business,City Center,23000.0,7.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Family,45.0,564000.0
P0562,IT Professional,Green Valley,16500.0,6.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,23.0,1740000.0
P0215,IT Professional,City Center,33500.0,4.8,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Family,33.0,1392000.0
P0593,Business,Lake View,22500.0,8.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,35.0,228000.0
P0269,Student,Hill View,15000.0,11.0,good,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,21.0,660000.0
P0231,Student,Tech Park,24000.0,2.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Couple,24.0,360000.0
P0513,IT Professional,North Avenue,17500.0,12.2,Good,4.0,Yes,Yes,Good,Medium,Good,Internet Availability,Single,24.0,864000.0
P0158,Business,South Garden,14000.0,15.3,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Family,28.0,912000.0
P0330,Student,North Avenue,17000.0,9.3,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,32.0,888000.0
P0100,Business,City Center,26500.0,6.3,Excellent,3.0,Yes,YES,Excellent,High,Excellent,Hospitals,Couple,23.0,
P0134,Business,North Avenue,14000.0,11.9,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,25.0,360000.0
P0159,IT Professional,Riverside,19500.0,12.3,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Couple,19.0,852000.0
P0043,Student,Green Valley,20500.0,11.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,43.0,948000.0
P0473,Business,City Center,30000.0,5.2,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Couple,38.0,216000.0
P0041,Teacher,Riverside,20000.0,13.8,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Single,53.0,264000.0
P0019,Finance,Tech Park,26000.0,2.8,Excellent,4.0,Yes,No,Excellent, Low ,Excellent,Short Commute,Single,37.0,1128000.0
P0519,Student,Green Valley,22000.0,9.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,27.0,228000.0
P0199,IT Professional,Green Valley,18500.0,10.2,Good,9.0,Yes,Yes,Good, Low ,Excellent,Affordable Rent,Family,23.0,804000.0
P0504,Healthcare,North Avenue,12000.0,5.9,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Couple,24.0,300000.0
P0584,Teacher,Green Valley,16500.0,2.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,47.0,708000.0
P0013,Student,South Garden,14000.0,9.8,Average,3.0,No,Yes,Average,Low,,Internet Availability,Couple,41.0,1536000.0
P0128,Self-Employed,North Avenue,16000.0,13.6,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Single,49.0,1980000.0
P0190,Student,North Avenue,19500.0,7.3,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Family,,1752000.0
P0235,Teacher,Hill View,16000.0,14.5,Poor,4.0,No,Yes,Average,Low,Good,Schools,Family,31.0,804000.0
P0310,IT Professional,Tech Park,25000.0,2.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,,22.0,924000.0
P0192,IT Professional,North Avenue,18000.0,11.6,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Couple,51.0,768000.0
P0133,Business,City Center,29000.0,4.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Quiet Environment,Family,26.0,552000.0
P0387,Student,Lake View,26000.0,9.8,Good,5.0,Yes,Yes,Good,Low,,Affordable Rent,Couple,21.0,276000.0
P0338,IT Professional,Green Valley,18000.0,10.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,39.0,756000.0
P0321,Self-Employed,Green Valley,19500.0,10.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,37.0,168000.0
P0036,Finance,City Center,27500.0,4.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,40.0,720000.0
P0582,Self-Employed,Riverside,19000.0,13.2,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Single,27.0,348000.0
P0442,Self-Employed,North Avenue,18500.0,6.5,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Couple,39.0,564000.0
P0594,Business,Riverside,18500.0,12.7,Average,4.0,Yes,Yes,Good,Low,Good,Internet Availability,Couple,21.0,792000.0
P0452,Student,Lake View,23000.0,12.3,Good,5.0,Yes,Yes,Good,, Good ,Safety, Family ,62.0,912000.0
P0384,Teacher,Riverside,19000.0,7.2,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Couple,24.0,780000.0
P0359,healthcare,Green Valley ,19000.0,15.1,Good,5.0,Yes,,Good,Low,Excellent,Shopping Access,Single,41.0,300000.0
P0157,Teacher,Hill View,12000.0,15.1,Poor,6.0,No,Yes,Average,Low,Good,Schools,Family,59.0,144000.0
P0406,Student,,13500.0,,Average,3.0,No,Yes,Average,Low,Average,Hospitals,Family,32.0,336000.0
P0132,IT Professional,Tech Park,25500.0,2.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,47.0,432000.0
P0478,IT Professional,Green Valley,21000.0,7.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Internet Availability,Family,30.0,516000.0
P0257,Business,Green Valley,15500.0,4.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,33.0,1164000.0
P0088,Teacher,Riverside,23500.0,17.2,Average,4.0,Yes,Yes,Good,Low,Good,Quiet Environment,Family,42.0,1584000.0
P0137,IT Professional,Lake View,17500.0,6.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Couple,32.0,1020000.0
P0533,IT Professional,Lake View,22000.0,12.1,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,18.0,1236000.0
P0585,Business,Riverside,16000.0,11.2,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,63.0,360000.0
P0214,IT Professional,Lake View,24000.0,11.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,33.0,492000.0
P0011,Student,North Avenue,17500.0,10.9,Good,4.0,Yes,Yes,Good,Medium,Good,Quiet Environment,Family,39.0,180000.0
P0274,Healthcare,Tech Park,24500.0,1.1,Excellent,4.0,yes,No,Excellent,Medium,Excellent,Shopping Access,Single,26.0,324000.0
P0277,IT Professional,Tech Park,25000.0,5.1,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,28.0,1056000.0
P0574,IT Professional,Tech Park,30500.0,6.8,Excellent,4.0,Yes,No,Excellent, Low ,Excellent,Schools,Family,28.0,1152000.0
P0532,Student,Lake View,22000.0,10.4,Good,5.0,,Yes,Good,Low,Excellent,Short Commute,Couple,25.0,1056000.0
P0173,IT Professional,Tech Park,26500.0,4.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,36.0,372000.0
P0525,Healthcare,City Center,,1.4,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,32.0,960000.0
P0108,Student,Green Valley,18000.0,5.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,50.0,684000.0
P0572,Business,Hill View,13500.0,13.5,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Single,41.0,384000.0
P0332,IT Professional,Hill View,15500.0,13.3,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Single,33.0,852000.0
P0409,IT Professional,Green Valley,19000.0,5.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,27.0,228000.0
P0521,Teacher,North Avenue,17500.0,13.6,Good,4.0,Yes,Yes,EXCELLENT,Medium,Good,Schools,Family,35.0,3000000.0
P0546,Student,South Garden,15500.0,17.6,Average,,No,Yes,Average,Low,Average,Quiet Environment,Single,40.0,432000.0
P0331,Teacher,North Avenue,16500.0,8.8,Good,4.0,Yes,Yes,Good,Medium,Good,Public Transport,Single,37.0,168000.0
P0095,IT Professional,Tech Park,27000.0,6.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Single,30.0,804000.0
P0361,IT Professional,City Center,24500.0,1.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Family,22.0,1056000.0
P0129,Business,Tech Park,28000.0,4.0,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,23.0,1848000.0
P0558,Student,Hill View,11000.0,17.2,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent, Family ,34.0,768000.0
P0514,Teacher,City Center,27500.0,3.8,Excellent,3.0,Yes, Yes ,Excellent,High,Excellent,Schools,Family,53.0,204000.0
P0498,Healthcare,Lake View,19500.0,12.3,Good,5.0,Yes,Yes,Good,,Excellent,Affordable Rent,Single,38.0,864000.0
P0496,Self-Employed,City Center,30500.0,4.7,Excellent,3.0,Yes,Yes,Excellent,,Excellent,Hospitals,Single,26.0,1512000.0
P0497,Government,City Center,-5000.0,1.7,Excellent,3.0, Yes ,Yes,Excellent,High,Excellent,Affordable Rent,Single,22.0,408000.0
P0025,Business,,18500.0,7.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Family,39.0,2160000.0
P0395,Business,Tech Park,28000.0,6.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Single,53.0,576000.0
P0123,Self-Employed,South Garden,12500.0,15.1,Average,3.0,No,,Average,Low,Average,Affordable Rent,Single,34.0,768000.0
P0194,Government,Riverside,17000.0,11.2,Average,4.0,Yes,Yes,Good,Low,Good,Internet Availability,Couple,38.0,1104000.0
P0107,Healthcare,North Avenue,19500.0,4.1,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,34.0,828000.0
P0499,Healthcare,Lake View,23000.0,8.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,20.0,1932000.0
P0091,Student,Tech Park,31500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Shopping Access,Couple,,156000.0
P0589,Student,City Center,28000.0,5.6,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Single,44.0,672000.0
P0276,IT Professional,Riverside,15500.0,11.2,Average,4.0,Yes,Yes,Good,Low,Good,,Single,39.0,1176000.0
P0299,IT Professional,Hill View,15500.0,15.3,Poor,4.0,No,Yes,Average,Low,Good,Schools,Couple,33.0,180000.0
P0456,Student,Green Valley,15500.0,12.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,57.0,936000.0
P0064,Healthcare,Tech Park,26500.0,7.1,Excellent,4.0,Yes,No,Excellent,Medium,,Short Commute,Couple,46.0,1320000.0
P0082,Student,North Avenue,14500.0,3.8,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Single,67.0,432000.0
P0347,Teacher,Hill View,14500.0,16.2,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,39.0,1164000.0
P0061,Business,Hill View,17000.0,18.5,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Single,26.0,552000.0
P0106,Government,South Garden,15000.0,17.2,Average,3.0,No,Yes,Average,Low,Average,Internet Availability,Single,,1128000.0
P0171,Finance,Lake View,21000.0,15.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Family,41.0,1440000.0
P0278,IT Professional,Lake View,25500.0,16.2,Good,,Yes,Yes,Good,Low,Excellent,Internet Availability,Couple,37.0,156000.0
P0065,IT Professional,City Center,27500.0,3.7,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Short Commute,Single,26.0,660000.0
P0576,IT Professional,Riverside,21000.0,14.6,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,25.0,672000.0
P0508,Student,Green Valley,17000.0,0.7,Good,5.0,Yes,Yes,GOOD,Low,Excellent,Public Transport,Family,30.0,1140000.0
P0075,Self-Employed,Riverside,20000.0,13.5,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Couple,37.0,216000.0
P0307,IT Professional,Riverside,23000.0,11.5,Average,4.0,Yes,Yes,Good,Low,Good,Quiet Environment,Family,102.0,972000.0
P0286,IT Professional,Green Valley,19500.0,7.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,63.0,1056000.0
P0126,Government,Green Valley,17500.0,12.4,Good,5.0,Yes,yes,Good,Low,Excellent,Schools,Family,30.0,600000.0
P0339,Student,North Avenue,16000.0,8.3,Good,4.0,Yes,Yes,Good,Medium,Good,Public Transport,Single,39.0,240000.0
P0300,Healthcare,South Garden,13500.0,14.4,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Couple,34.0,168000.0
P0434,IT Professional,Hill View,14000.0,17.7,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Single,24.0,840000.0
P0303,Teacher,City Center,33000.0,2.4,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,family,26.0,540000.0
P0534,Business,City Center,37500.0,6.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Family,39.0,600000.0
P0537,Teacher,Riverside,21500.0,10.9,Average,4.0,no,Yes,Good,Low,Good,Short Commute,Single,20.0,396000.0
P0543,Teacher,Hill View,20000.0,14.0,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Family,37.0,408000.0
P0316,Government,Green Valley,16000.0,12.1,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,single,29.0,1176000.0
P0249,IT Professional,North Avenue,15000.0,7.4,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Single,49.0,432000.0
P0597,Teacher,Green Valley,19000.0,7.7,Good,5.0,Yes,yes,Good,Low,Excellent,Schools, Family ,18.0,744000.0
P0163,Government,Tech Park,30500.0,6.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Shopping Access,Single,25.0,144000.0
P0251,Business,Hill View,14000.0,18.8,Poor,4.0,No,yes,Average,Low,Good,Quiet Environment,Family,31.0,1080000.0
P0089,Healthcare,Riverside,19500.0,12.4,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Couple,39.0,492000.0
P0053,Teacher,North Avenue,18000.0,10.6,Good,4.0,Yes,Yes,Good,Medium,Good,Public Transport,Couple,51.0,468000.0
P0386,Finance,Tech Park,24500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Couple,25.0,396000.0
P0529,IT Professional,Tech Park,26500.0,4.8,Excellent,4.0,Yes,No,Excellent,Medium, Good ,Shopping Access,Couple,25.0,1032000.0
P0319,Finance,Green Valley,19000.0,8.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Family,36.0,228000.0
P0400,Teacher,Lake View,22000.0,10.0,Good,5.0,Yes,yes,Good,Low,Excellent,Schools,Single,48.0,1404000.0
P0510,Finance,Tech Park,24500.0,9.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,25.0,636000.0
P0563,Government,Green Valley,15500.0,7.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,29.0,900000.0
P0138,Government,City Center,35000.0,7.4,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Shopping Access,Single,46.0,1416000.0
P0555,Teacher,Green Valley,18000.0,7.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Single,18.0,804000.0
P0570,Teacher,City Center,26500.0,4.6,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Family,23.0,984000.0
P0047,IT Professional,Lake View,19500.0,9.2,Good,5.0,Yes,Yes,,Low,Excellent,Safety,Single,63.0,1740000.0
P0506,IT Professional,City Center,32500.0,2.4,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Single,54.0,228000.0
P0351,Healthcare,South Garden,11500.0,13.7,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,,30.0,444000.0
P0566,Healthcare,Green Valley,18000.0,3.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,20.0,2124000.0
P0054,Student,Green Valley,17500.0,14.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Single,42.0,264000.0
P0141,IT Professional,Hill View,14500.0,10.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,34.0,816000.0
P0342,IT Professional,City Center,30500.0,6.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,44.0,1272000.0
P0181,Self-Employed,North Avenue,14500.0,7.0,Good,4.0,Yes,Yes,Good,Medium,Good,,Family,25.0,1164000.0
P0005,Teacher,South Garden,-5000.0,13.2,Average,3.0,No,Yes,Average,Low,Average,Quiet Environment,Couple,31.0,2052000.0
P0483,Student,Hill View,16000.0,12.5,Poor,4.0,,Yes,Average,Low,Good,Public Transport,Couple,30.0,204000.0
P0327,IT Professional,City Center,32500.0,2.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Couple,54.0,288000.0
P0066,Finance,,21000.0,11.8,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Family,48.0,396000.0
P0554,Teacher,North Avenue,17000.0,15.3,Good,4.0,Yes,Yes,Good,Medium,Good,Public Transport,Single,54.0,
P0587,Student,Tech Park,29000.0,6.1,Excellent,4.0,yes,No,Excellent,Medium,Excellent,Quiet Environment,Family,21.0,1152000.0
P0170,Government,Hill View,16000.0,13.1,Poor,4.0,No,Yes,Average,Low,Good,Hospitals,Family,41.0,624000.0
P0390,IT Professional,North Avenue,18000.0,8.6,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,65.0,768000.0
P0348,Teacher,Riverside,20000.0,10.2,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Single,36.0,768000.0
P0450,Student,Tech Park,28500.0,5.0,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,50.0,1728000.0
P0368,IT Professional,Hill View,16500.0,16.4,Poor,4.0,No,Yes,Average,Low,Good,Quiet Environment,Couple,33.0,240000.0
P0350,Government,Tech Park,25000.0,3.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,39.0,600000.0
P0279,IT Professional,Green Valley,17000.0,9.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Family,31.0,
P0371,Government,Lake View,22500.0,10.8,Good,5.0,Yes,Yes,Good,Low, Good ,Safety,Couple,49.0,240000.0
P0424,Teacher,Riverside,23500.0,12.1,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,30.0,1092000.0
P0421,Teacher,Lake View,27000.0,9.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Couple,55.0,1344000.0
P0027,Healthcare,Green Valley,14000.0,9.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Couple,41.0,192000.0
P0179,Healthcare,City Center,24000.0,0.5, Good ,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Single,35.0,1644000.0
P0564,Finance,Tech Park,26000.0,,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Shopping Access,Family,20.0,912000.0
P0578,IT Professional,North Avenue,16000.0,11.0,,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,23.0,1320000.0
P0425,Healthcare,Tech Park,25500.0,3.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,20.0,816000.0
P0164,IT Professional,Lake View,20500.0,6.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Family,39.0,912000.0
P0133,business,City Center ,29000.0,4.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Quiet Environment,Family,26.0,324000.0
P0591,Healthcare,Riverside,20500.0,14.5,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,20.0,2004000.0
P0557,Self-Employed,Green Valley,19500.0,9.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Couple,24.0,1068000.0
P0218,Healthcare,North Avenue,18000.0,9.2,Good,4.0,Yes,Yes,Good,Medium,Good,Quiet Environment,Family,21.0,252000.0
P0422,Healthcare,Tech Park,24000.0,5.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Hospitals,Single,30.0,936000.0
P0575,IT Professional,Riverside,21000.0,11.9,Average,4.0,Yes,Yes,Good,Low,Good,Shopping Access,Couple,22.0,1788000.0
P0376,Teacher,City Center,32500.0,2.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Couple,55.0,2076000.0
P0490,Government,Tech Park,27500.0,2.0,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Single,43.0,768000.0
P0480,Student,Lake View,22500.0,10.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,40.0,252000.0
P0150,Business,City Center,29500.0,5.1,Excellent,3.0,Yes,Yes,GOOD,High,Excellent,Safety,Family,38.0,480000.0
P0495,Teacher,Hill View,14500.0,17.0,Poor,4.0,No,Yes,EXCELLENT,Low,Good,Affordable Rent,Family,53.0,240000.0
P0309,IT Professional,North Avenue,16500.0,10.4,Good,4.0,Yes,Yes,Good,Medium,Good,Hospitals,Couple,35.0,144000.0
P0253,IT Professional,Tech Park,25000.0,8.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Single,23.0,648000.0
P0311,IT Professional,Hill View,17500.0,14.4,Poor,4.0,No,Yes,Average,Low,Good,Shopping Access,Single,36.0,204000.0
P0035,IT Professional,Riverside,21000.0,12.2,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Couple,47.0,948000.0
P0441,IT Professional,North Avenue,19500.0,8.2,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Family,64.0,900000.0
P0111,Student,Green Valley,15500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,18.0,336000.0
P0228,IT Professional,Green Valley,19000.0,6.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,36.0,216000.0
P0443,Teacher,Riverside,23000.0,14.4,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Couple,18.0,924000.0
P0541,Finance,City Center,23000.0,1.8,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,37.0,660000.0
P0451,Finance,Green Valley,18000.0,10.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,33.0,504000.0
P0553,Self-Employed,Lake View,20500.0,10.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,40.0,696000.0
P0151,IT Professional,Green Valley,15000.0,8.1,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Family,34.0,1224000.0
P0143,Healthcare,Riverside,15500.0,9.7,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Family,23.0,912000.0
P0396,Teacher,Riverside,21000.0,7.8,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Family,29.0,1308000.0
P0296,Healthcare,North Avenue,16500.0,10.8,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,45.0,588000.0
P0377,Government,Tech Park,27500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,31.0,828000.0
P0272,Teacher,City Center,26500.0,4.5,EXCELLENT,3.0,no,Yes,Excellent,High,Excellent,Shopping Access,Family,44.0,240000.0
